Time,Queue Size,Packet Loss,Link Utilization,Global Sync Detected,Average Queue Depth,Times Problem Detected,Average Time Difference between Problem,Variance of Time Difference
469,165,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
470,173,24,100.000000,0.000000,0.000000,5,71500.750000,110372464.000000
471,183,25,100.000000,1.000000,0.000000,6,65800.601562,86644568.000000
472,156,25,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
473,132,25,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
474,111,25,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
475,93,25,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
476,85,25,93.000000,0.000000,0.000000,6,65800.601562,86644568.000000
477,88,25,85.000000,0.000000,0.000000,6,65800.601562,86644568.000000
478,91,25,88.000000,0.000000,0.000000,6,65800.601562,86644568.000000
479,94,25,91.000000,0.000000,0.000000,6,65800.601562,86644568.000000
480,97,25,94.000000,0.000000,0.000000,6,65800.601562,86644568.000000
481,100,25,97.000000,0.000000,0.000000,6,65800.601562,86644568.000000
482,103,25,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
483,109,25,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
484,117,25,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
485,127,25,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
486,139,25,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
487,153,25,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
488,169,25,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
489,184,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
490,165,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
491,149,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
492,136,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
493,126,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
494,119,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
495,115,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
496,114,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
497,116,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
498,121,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
499,129,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
500,139,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
501,151,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
502,165,26,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
503,181,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
504,160,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
505,142,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
506,127,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
507,115,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
508,106,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
509,100,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
510,97,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
511,100,27,97.000000,0.000000,0.000000,6,65800.601562,86644568.000000
512,102,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
513,106,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
514,112,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
515,120,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
516,130,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
517,142,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
518,156,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
519,172,27,100.000000,0.000000,0.000000,6,65800.601562,86644568.000000
520,189,28,100.000000,1.000000,0.000000,7,62999.500000,28022004.000000
521,170,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
522,154,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
523,141,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
524,131,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
525,124,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
526,120,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
527,119,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
528,121,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
529,126,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
530,133,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
531,142,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
532,153,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
533,166,28,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
534,181,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
535,159,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
536,140,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
537,124,29,100.000000,0.000000,0.000000,7,62999.500000,28022004.000000
